Text,Priority,Status,Created Date
"task 2 with low priority","high","Completed","05/08/2025"
"Complete project proposal for Q4 budget meeting","high","Completed","05/08/2025"
"Schedule dentist appointment","medium","Pending","05/08/2025"
"Buy groceries for the week","low","Pending","05/08/2025"
"Prepare presentation slides for Monday meeting","high","Pending","05/08/2025"
"Call mom about weekend plans","medium","Pending","05/08/2025"
"Update website content and fix broken links","medium","Pending","05/08/2025"
"Book flight tickets for business trip","high","Pending","05/08/2025"
"Clean and organize home office","low","Pending","05/08/2025"
"Research new project management tools","medium","Pending","05/08/2025"
"Submit expense reports before deadline","high","Pending","05/08/2025"
"Plan team building activity for next month","medium","Pending","05/08/2025"
"Read industry report on market trends","medium","Pending","05/08/2025"
"Fix leaky kitchen faucet","low","Pending","05/08/2025"
"Respond to client emails about contract details","high","Pending","05/08/2025"
"Organize digital photo collection","medium","Pending","05/08/2025"
"Create backup of important work files","medium","Pending","05/08/2025"
"Schedule annual physical checkup","low","Pending","05/08/2025"
"Prepare quarterly sales analysis","high","Pending","05/08/2025"
"Learn new programming language basics","medium","Pending","05/08/2025"